,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,44.89724828573656,0.30000000000000004,0.45
1,1115_4,40.183265033209665,0.35000000000000003,0.35000000000000003
2,1117_9,41.45717898806679,0.35000000000000003,0.35000000000000003
3,1121_4,39.16798123185188,0.5,0.55
4,1116_7,37.52900271258211,0.5,0.45
5,1121_15,48.39000000000001,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,43.19461420072837,0.25,0.35000000000000003
8,1117_14,42.30527684715733,0.35000000000000003,0.45
9,1206_4,48.7112444141126,0.05,0.55
10,1121_10,31.78357372888317,0.6000000000000001,0.45
11,1116_1,48.59,0.0,0.45
12,1120_9,44.5794095764211,0.30000000000000004,0.45
13,1117_5,46.96000000000001,0.0,0.4
