,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,32.435611436856824,0.6000000000000001,0.5
1,1115_4,26.822202731583175,0.65,0.30000000000000004
2,1117_9,29.989247156413782,0.6000000000000001,0.4
3,1121_4,33.61012075970264,0.6000000000000001,0.65
4,1116_7,26.4472032801647,0.7000000000000001,0.5
5,1121_15,48.39000000000001,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,45.677594984486376,0.15000000000000002,0.4
8,1117_14,41.061616620019976,0.4,0.5
9,1206_4,48.816133761144414,0.05,0.55
10,1121_10,34.72923758897194,0.55,0.5
11,1116_1,48.59000000000001,0.0,0.45
12,1120_9,42.11470480427286,0.35000000000000003,0.45
13,1117_5,46.96000000000001,0.0,0.4
