,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.81,0.0,0.35000000000000003
1,1116_5,42.78226178481424,0.30000000000000004,0.4
2,1105_2,44.806991506857955,0.30000000000000004,0.5
3,1117_7,47.527507170153896,0.2,0.5
4,1121_2,48.29,0.0,0.55
5,1120_1,48.11091975053577,0.1,0.45
6,1121_13,45.76270226112976,0.2,0.65
7,1121_8,45.309999999999995,0.0,0.35000000000000003
8,1117_12,46.32863044197987,0.2,0.45
9,1206_2,45.247523688140205,0.25,0.45
10,1117_1,48.595636802225656,0.1,0.5
11,1128_3,45.24097373071355,0.05,0.35000000000000003
12,1120_7,40.44,0.0,0.30000000000000004
13,1115_7,41.62668989360814,0.15000000000000002,0.30000000000000004
