,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,32.952232045891016,0.55,0.45
1,1115_4,27.891915971537728,0.6000000000000001,0.30000000000000004
2,1117_9,29.534994395956275,0.6000000000000001,0.4
3,1121_4,33.396417625203014,0.6000000000000001,0.65
4,1116_7,26.976388680639907,0.7000000000000001,0.5
5,1121_15,48.390000000000015,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,45.74685873291887,0.1,0.4
8,1117_14,41.01848991420013,0.4,0.5
9,1206_4,48.85893698118279,0.05,0.55
10,1121_10,34.84745275671459,0.55,0.5
11,1116_1,48.59000000000001,0.0,0.45
12,1120_9,42.27882055959314,0.35000000000000003,0.45
13,1117_5,46.96,0.0,0.4
