,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,45.09884145179666,0.25,0.45
1,1115_4,39.89677938551965,0.35000000000000003,0.35000000000000003
2,1117_9,41.78802356948567,0.35000000000000003,0.35000000000000003
3,1121_4,38.185012068693865,0.5,0.6000000000000001
4,1116_7,37.465897542038974,0.5,0.45
5,1121_15,48.39,0.0,0.55
6,1205_1,36.75,0.0,0.25
7,1129_2,43.160036765646936,0.30000000000000004,0.35000000000000003
8,1117_14,41.98356367165948,0.4,0.5
9,1206_4,48.749223884650036,0.05,0.55
10,1121_10,31.98100070772532,0.65,0.5
11,1116_1,48.59,0.0,0.45
12,1120_9,44.44191037931655,0.30000000000000004,0.45
13,1117_5,46.96000000000001,0.0,0.4
