,Sub name,Model Score,Model Alpha,Model Beta
0,1120_3,46.44922826729125,0.2,0.45
1,1115_4,42.20343975732767,0.30000000000000004,0.4
2,1117_9,44.542958032783304,0.25,0.4
3,1121_4,48.37578185645714,0.15000000000000002,0.55
4,1116_7,45.583594514817605,0.30000000000000004,0.5
5,1121_15,48.39000000000001,0.0,0.55
6,1205_1,36.51808364856304,0.1,0.25
7,1129_2,46.36,0.0,0.4
8,1117_14,44.67797348017419,0.35000000000000003,0.55
9,1206_4,48.89,0.0,0.55
10,1121_10,46.635311369263974,0.25,0.5
11,1116_1,48.59,0.0,0.45
12,1120_9,40.910298586945984,0.45,0.5
13,1117_5,46.96,0.0,0.4
