,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,34.2602351088212,0.55,0.45
1,1129_3,39.97426281725629,0.5,0.6000000000000001
2,1116_4,44.920664115928616,0.30000000000000004,0.5
3,1117_6,46.88908954912296,0.25,0.55
4,1206_6,47.56,0.0,0.4
5,1117_16,35.103264955803354,0.5,0.4
6,1121_12,47.68694238275479,0.2,0.5
7,1105_1,42.5177858578714,0.25,0.4
8,1121_7,48.48359586551535,0.05,0.45
9,1120_5,32.94158723970868,0.65,0.6000000000000001
10,1206_1,49.0,0.0,0.5
11,1117_11,46.94746512318657,0.15000000000000002,0.45
12,1116_9,35.4872356205635,0.6000000000000001,0.5
13,1128_4,46.93117705164547,0.15000000000000002,0.65
14,1115_6,45.00202440024858,0.30000000000000004,0.65
