,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,22.612515170504885,0.7000000000000001,0.05
1,1129_3,29.160850423903845,0.65,0.30000000000000004
2,1116_4,40.81510838158918,0.4,0.4
3,1117_6,44.72112419560002,0.30000000000000004,0.45
4,1206_6,47.22492907948956,0.1,0.4
5,1117_16,24.135683076922113,0.65,0.05
6,1121_12,47.16393463055553,0.2,0.45
7,1105_1,37.65758841061496,0.4,0.25
8,1121_7,46.13240449778142,0.2,0.45
9,1120_5,23.857704902817325,0.7000000000000001,0.1
10,1206_1,49.0,0.0,0.5
11,1117_11,43.75019644506774,0.30000000000000004,0.4
12,1116_9,25.13859133431587,0.65,0.15000000000000002
13,1128_4,45.036509693657266,0.25,0.6000000000000001
14,1115_6,46.77300145278851,0.2,0.55
