,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,37.93836726289685,0.45,0.05
1,1129_3,42.761122231635525,0.4,0.2
2,1116_4,45.7773190040884,0.30000000000000004,0.30000000000000004
3,1117_6,44.77872461930329,0.45,0.2
4,1206_6,46.95250247914803,0.15000000000000002,0.35000000000000003
5,1117_16,37.73238802965726,0.45,0.0
6,1121_12,48.596940646743604,0.1,0.45
7,1105_1,42.972989230862424,0.25,0.2
8,1121_7,46.770747926205445,0.25,0.35000000000000003
9,1120_5,39.135779038072826,0.5,0.0
10,1206_1,49.0,0.0,0.5
11,1117_11,47.21810643653025,0.15000000000000002,0.35000000000000003
12,1116_9,39.32020251170182,0.5,0.0
13,1128_4,45.889060971048494,0.25,0.5
14,1115_6,45.34157842564426,0.30000000000000004,0.45
