,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.809999999999995,0.0,0.35000000000000003
1,1116_5,38.49193318074428,0.4,0.30000000000000004
2,1105_2,44.17029178116947,0.30000000000000004,0.4
3,1117_7,15.869541010541381,0.8500000000000001,0.2
4,1121_2,47.66626447434927,0.1,0.55
5,1120_1,42.77136584024224,0.35000000000000003,0.4
6,1121_13,46.029769991208696,0.15000000000000002,0.6000000000000001
7,1121_8,41.64675217775849,0.30000000000000004,0.30000000000000004
8,1117_12,46.00697236057151,0.2,0.4
9,1206_2,23.18468079479314,0.7000000000000001,0.15000000000000002
10,1117_1,47.56920827669646,0.2,0.5
11,1128_3,35.89625650067873,0.45,0.2
12,1120_7,35.687051074400685,0.30000000000000004,0.2
13,1115_7,34.74639935704612,0.4,0.15000000000000002
