,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,23.53754562441849,0.7000000000000001,0.0
1,1129_3,31.16131517126903,0.7000000000000001,0.1
2,1116_4,41.10807074813743,0.4,0.35000000000000003
3,1117_6,45.40147542277318,0.30000000000000004,0.45
4,1206_6,45.77812380822799,0.2,0.4
5,1117_16,26.81656518596003,0.65,0.0
6,1121_12,47.46346751013479,0.2,0.45
7,1105_1,38.522647819729045,0.4,0.2
8,1121_7,47.85332060302183,0.1,0.45
9,1120_5,21.653554518473364,0.75,0.0
10,1206_1,49.0,0.0,0.5
11,1117_11,44.17263439955546,0.30000000000000004,0.35000000000000003
12,1116_9,22.212902493269304,0.75,0.0
13,1128_4,46.29515799119339,0.2,0.6000000000000001
14,1115_6,46.16724874613535,0.25,0.55
