,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.809999999999995,0.0,0.35000000000000003
1,1116_5,40.729495385850086,0.35000000000000003,0.4
2,1105_2,40.14642207362897,0.45,0.5
3,1117_7,32.05487988036251,0.6000000000000001,0.65
4,1121_2,45.82059764955882,0.25,0.65
5,1120_1,33.764646968855985,0.6000000000000001,0.6000000000000001
6,1121_13,45.58228237973502,0.2,0.65
7,1121_8,42.17939003980639,0.25,0.35000000000000003
8,1117_12,44.69753488948358,0.25,0.45
9,1206_2,21.45821721933491,0.8,0.6000000000000001
10,1117_1,44.62984193264586,0.30000000000000004,0.55
11,1128_3,31.07132941766273,0.6000000000000001,0.35000000000000003
12,1120_7,35.89699166562499,0.35000000000000003,0.25
13,1115_7,27.745987896110893,0.6000000000000001,0.25
