,Sub name,Model Score,Model Alpha,Model Beta
0,1128_1,13.50141518726771,0.8500000000000001,0.30000000000000004
1,1206_2,4.538735003401392,0.9500000000000001,0.35000000000000003
2,1120_4,5.746867768541137,0.9500000000000001,0.0
3,1115_5,1.1987231111490861,1.0,0.0
4,1121_5,1.3222381351120776,1.0,0.0
5,1117_10,4.7698003706380305,0.9500000000000001,0.7000000000000001
6,1116_8,46.760000000000005,0.0,0.4
7,1117_15,3.382689952817408,0.9500000000000001,0.15000000000000002
8,1206_5,14.798036851297505,0.8500000000000001,0.45
9,1116_2,8.058801227266047,0.9,0.2
10,1121_11,1.5603351807879136,1.0,0.0
11,1120_10,3.97306264019474,0.9500000000000001,0.4
12,1129_1,6.262845465318451,0.9500000000000001,0.0
13,1117_4,13.513198321523717,0.8500000000000001,0.5
