,Sub name,Model Score,Model Alpha,Model Beta
0,1129_5,37.892429288265355,0.4,0.35000000000000003
1,1120_2,47.649303500716684,0.1,0.6000000000000001
2,1105_3,47.72994301914241,0.05,0.6000000000000001
3,1117_8,48.280696707996654,0.05,0.55
4,1121_3,40.66667266421541,0.45,0.55
5,1116_6,46.771026337717146,0.2,0.6000000000000001
6,1121_14,46.03999617190166,0.1,0.4
7,1117_13,41.742078107579026,0.2,0.30000000000000004
8,1206_3,36.75968529549691,0.5,0.35000000000000003
9,1121_9,44.233742300865885,0.2,0.35000000000000003
10,1120_8,44.086442952445445,0.35000000000000003,0.5
11,1128_5,38.42562163852264,0.45,0.4
12,1117_2,38.26742177146819,0.4,0.30000000000000004
13,1115_8,38.13619083849321,0.4,0.30000000000000004
