,Sub name,Model Score,Model Alpha,Model Beta
0,1129_5,41.379508715397584,0.35000000000000003,0.15000000000000002
1,1120_2,46.92683903093007,0.15000000000000002,0.55
2,1105_3,47.122100765371414,0.15000000000000002,0.55
3,1117_8,48.24774189656631,0.05,0.55
4,1121_3,39.96898051773732,0.5,0.25
5,1116_6,45.81551254756654,0.25,0.5
6,1121_14,46.07380824579341,0.1,0.35000000000000003
7,1117_13,42.365179982605255,0.15000000000000002,0.25
8,1206_3,35.014728477633156,0.55,0.0
9,1121_9,43.85683083650333,0.25,0.25
10,1120_8,45.67333544589397,0.30000000000000004,0.35000000000000003
11,1128_5,38.05244382845591,0.55,0.0
12,1117_2,37.50126991399372,0.45,0.0
13,1115_8,35.95114703677744,0.5,0.0
