,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.81,0.0,0.35000000000000003
1,1116_5,43.92306524655844,0.30000000000000004,0.2
2,1105_2,41.04386524211886,0.45,0.2
3,1117_7,36.962266649461526,0.6000000000000001,0.05
4,1121_2,44.72920282968528,0.4,0.4
5,1120_1,42.50811162134944,0.45,0.2
6,1121_13,46.999772544012416,0.05,0.6000000000000001
7,1121_8,41.9050163002771,0.4,0.05
8,1117_12,46.30388483012115,0.2,0.30000000000000004
9,1206_2,37.72887563162561,0.55,0.0
10,1117_1,45.16597250463295,0.4,0.30000000000000004
11,1128_3,37.95894852821748,0.45,0.0
12,1120_7,37.203797688341695,0.30000000000000004,0.1
13,1115_7,38.22092513446125,0.4,0.0
