,Sub name,Model Score,Model Alpha,Model Beta
0,1121_6,23.679616998676934,0.7000000000000001,0.0
1,1129_3,31.153531523625066,0.65,0.15000000000000002
2,1116_4,41.02746040754499,0.4,0.35000000000000003
3,1117_6,45.3130987263591,0.30000000000000004,0.45
4,1206_6,45.846895618020085,0.2,0.4
5,1117_16,27.69809661802952,0.6000000000000001,0.05
6,1121_12,47.448181172669734,0.2,0.45
7,1105_1,38.65692047987385,0.4,0.2
8,1121_7,47.875691277444844,0.1,0.45
9,1120_5,22.16317656500801,0.75,0.0
10,1206_1,49.0,0.0,0.5
11,1117_11,44.52582186702067,0.30000000000000004,0.35000000000000003
12,1116_9,21.653761239878722,0.75,0.0
13,1128_4,46.451616375342866,0.15000000000000002,0.6000000000000001
14,1115_6,46.01586120126919,0.25,0.55
