,Sub name,Model Score,Model Alpha,Model Beta
0,1129_4,43.80999999999999,0.0,0.35000000000000003
1,1116_5,40.6302159379693,0.4,0.25
2,1105_2,35.75793558006592,0.55,0.35000000000000003
3,1117_7,26.29405246030135,0.75,0.25
4,1121_2,45.70439327283354,0.25,0.55
5,1120_1,35.0818944697013,0.6000000000000001,0.30000000000000004
6,1121_13,46.48144020453407,0.1,0.6000000000000001
7,1121_8,40.461691282302155,0.35000000000000003,0.25
8,1117_12,42.146439837002376,0.35000000000000003,0.35000000000000003
9,1206_2,22.698443827155383,0.75,0.0
10,1117_1,45.93697429495144,0.30000000000000004,0.45
11,1128_3,33.46356176026364,0.55,0.15000000000000002
12,1120_7,35.94356733071247,0.30000000000000004,0.2
13,1115_7,32.03314752535317,0.5,0.1
