,Subname,FB Alpha,FB Beta,F1 Alpha,F1 Beta,F1- Alpha,F1- Beta,FN Alpha,FN Beta,S2 Alpha,S2 Beta,D2 Alpha,D2 Beta,S3 Alpha,S3 Beta,D3 Alpha,D3 Beta,CN Alpha,CN Beta
0,1129_4,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003
1,1116_5,0.35000000000000003,0.30000000000000004,0.4,0.45,0.4,0.45,0.45,0.35000000000000003,0.35000000000000003,0.30000000000000004,0.2,0.35000000000000003,0.4,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,0.4
2,1105_2,0.4,0.45,0.30000000000000004,0.55,0.30000000000000004,0.55,0.4,0.45,0.25,0.45,0.55,0.4,0.25,0.45,0.35000000000000003,0.5,0.4,0.55
3,1117_7,0.65,0.35000000000000003,0.15000000000000002,0.5,0.15000000000000002,0.5,0.45,0.55,0.8500000000000001,0.15000000000000002,0.35000000000000003,0.45,0.8500000000000001,0.15000000000000002,0.65,0.65,0.65,0.65
4,1121_2,0.25,0.6000000000000001,0.0,0.6000000000000001,0.0,0.6000000000000001,0.30000000000000004,0.6000000000000001,0.1,0.6000000000000001,0.2,0.6000000000000001,0.1,0.6000000000000001,0.15000000000000002,0.6000000000000001,0.15000000000000002,0.6000000000000001
5,1120_1,0.6000000000000001,0.4,0.05,0.5,0.05,0.5,0.6000000000000001,0.30000000000000004,0.35000000000000003,0.4,0.55,0.35000000000000003,0.35000000000000003,0.45,0.55,0.55,0.55,0.55
6,1121_13,0.15000000000000002,0.6000000000000001,0.25,0.65,0.25,0.65,0.15000000000000002,0.6000000000000001,0.25,0.55,0.15000000000000002,0.6000000000000001,0.25,0.6000000000000001,0.2,0.6000000000000001,0.2,0.6000000000000001
7,1121_8,0.30000000000000004,0.35000000000000003,0.0,0.4,0.0,0.4,0.30000000000000004,0.35000000000000003,0.25,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.25,0.4,0.25,0.4
8,1117_12,0.35000000000000003,0.35000000000000003,0.2,0.45,0.2,0.45,0.30000000000000004,0.4,0.2,0.4,0.30000000000000004,0.35000000000000003,0.2,0.4,0.25,0.4,0.25,0.45
9,1206_2,0.7000000000000001,0.35000000000000003,0.25,0.5,0.25,0.5,0.7000000000000001,0.35000000000000003,0.75,0.15000000000000002,0.5,0.35000000000000003,0.8,0.2,0.7000000000000001,0.55,0.7000000000000001,0.55
10,1117_1,0.30000000000000004,0.5,0.1,0.5,0.1,0.5,0.35000000000000003,0.45,0.15000000000000002,0.5,0.30000000000000004,0.45,0.15000000000000002,0.5,0.25,0.55,0.25,0.55
11,1128_3,0.7000000000000001,0.0,0.05,0.35000000000000003,0.05,0.35000000000000003,0.45,0.30000000000000004,0.5,0.15000000000000002,0.55,0.1,0.45,0.25,0.55,0.30000000000000004,0.55,0.30000000000000004
12,1120_7,0.4,0.15000000000000002,0.0,0.30000000000000004,0.0,0.30000000000000004,0.2,0.30000000000000004,0.35000000000000003,0.2,0.25,0.25,0.35000000000000003,0.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
13,1115_7,0.55,0.1,0.1,0.35000000000000003,0.1,0.35000000000000003,0.45,0.15000000000000002,0.4,0.15000000000000002,0.45,0.15000000000000002,0.4,0.15000000000000002,0.55,0.25,0.55,0.25
