,Subname,FB Alpha,FB Beta,F1 Alpha,F1 Beta,F1- Alpha,F1- Beta,FN Alpha,FN Beta,S2 Alpha,S2 Beta,D2 Alpha,D2 Beta,S3 Alpha,S3 Beta,D3 Alpha,D3 Beta,CN Alpha,CN Beta
0,1120_3,0.5,0.35000000000000003,0.25,0.5,0.25,0.5,0.45,0.4,0.30000000000000004,0.45,0.55,0.45,0.30000000000000004,0.45,0.55,0.5,0.55,0.5
1,1115_4,0.5,0.2,0.30000000000000004,0.4,0.30000000000000004,0.4,0.5,0.2,0.35000000000000003,0.30000000000000004,0.55,0.30000000000000004,0.35000000000000003,0.30000000000000004,0.55,0.30000000000000004,0.6000000000000001,0.30000000000000004
2,1117_9,0.5,0.25,0.2,0.4,0.2,0.4,0.4,0.30000000000000004,0.30000000000000004,0.35000000000000003,0.55,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.55,0.4,0.55,0.4
3,1121_4,0.6000000000000001,0.45,0.1,0.55,0.1,0.55,0.6000000000000001,0.55,0.45,0.55,0.5,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001
4,1116_7,0.65,0.25,0.25,0.5,0.25,0.5,0.6000000000000001,0.35000000000000003,0.5,0.45,0.6000000000000001,0.45,0.5,0.45,0.6000000000000001,0.45,0.65,0.5
5,1121_15,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.55,0.0,0.55
6,1205_1,0.0,0.25,0.2,0.2,0.15000000000000002,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25
7,1129_2,0.25,0.30000000000000004,0.05,0.35000000000000003,0.05,0.35000000000000003,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.1,0.35000000000000003,0.30000000000000004,0.30000000000000004,0.1,0.35000000000000003,0.1,0.35000000000000003
8,1117_14,0.25,0.4,0.35000000000000003,0.5,0.35000000000000003,0.5,0.25,0.45,0.25,0.45,0.30000000000000004,0.45,0.30000000000000004,0.45,0.30000000000000004,0.45,0.30000000000000004,0.45
9,1206_4,0.15000000000000002,0.6000000000000001,0.0,0.55,0.0,0.55,0.15000000000000002,0.6000000000000001,0.1,0.6000000000000001,0.1,0.6000000000000001,0.1,0.6000000000000001,0.1,0.6000000000000001,0.1,0.6000000000000001
10,1121_10,0.65,0.30000000000000004,0.25,0.5,0.25,0.5,0.65,0.35000000000000003,0.6000000000000001,0.4,0.55,0.45,0.6000000000000001,0.45,0.55,0.45,0.55,0.45
11,1116_1,0.05,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.5,0.0,0.45,0.0,0.5,0.0,0.5
12,1120_9,0.4,0.4,0.45,0.55,0.45,0.55,0.4,0.45,0.25,0.45,0.4,0.45,0.25,0.45,0.4,0.5,0.4,0.5
13,1117_5,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003,0.0,0.35000000000000003
