,Subname,FB,F1,F1-,FN,S2,D2,S3,D3,CN
0,1129_5,28.683807360750908,35.49407161598201,35.61735342526699,29.58739124951424,26.13808539693531,30.628943345222837,26.10951427401652,31.928918772481204,26.154192886114835
1,1120_2,38.31778249073571,39.599999999999994,39.6,38.626364239593855,39.03765708264108,39.21625654305225,39.031751921553095,39.49982946958018,39.05754829838013
2,1105_3,37.85682149983774,38.0,38.0,37.8418384170208,37.94721537384656,38.0,37.965216598361096,37.71185573984002,37.96392844553348
3,1117_8,37.329994653235985,38.0,38.0,36.98674537017371,37.88089063623488,37.66633659198447,37.90014773072831,38.00000000000001,37.89656315550491
4,1121_3,33.301738849650526,34.902434935178924,35.128067202313716,36.23085488107632,28.89579558414687,34.60929527707272,29.036244944939412,37.14771853145561,29.669973759450492
5,1116_6,37.92129938156666,38.513749726236114,38.48431269833106,37.29850965974526,38.552568416053795,38.20845983483056,38.5370716187805,38.51525083945499,38.49392144843266
6,1121_14,38.599999999999994,38.25904372880876,38.2325907194215,38.599999999999994,38.6,38.551444506858154,38.6,38.6,38.60000000000001
7,1117_13,33.127664752553585,36.94833713264137,36.988938570999075,33.37708401158261,35.564469237545154,35.76765606290926,35.546152353576225,34.30435842642581,35.38785742238383
8,1206_3,16.277592933634022,33.17890652585747,33.4750425701367,17.268577906670156,4.018168810956255,30.28884450628358,3.9648208995977976,23.706580157595425,3.482880280254511
9,1121_9,35.190715631425505,37.80510993417839,37.78520180991701,36.049006678508775,34.47959503465772,37.31881122422516,34.46973750588329,36.05696995956851,34.49645501200109
10,1120_8,31.442916638203744,38.323663487539065,38.261715363779935,30.92010623255043,30.478183980791247,37.52094841430977,30.415111030662036,36.44233991979444,30.1774070833419
11,1128_5,21.227099041336622,35.623702552743005,35.37572070297977,20.765437696812665,5.811965272849938,32.36545107055065,5.762349460612827,26.083643215712936,5.1593268386322615
12,1117_2,23.23516849079568,34.4611727863051,34.54127089748752,22.81255893269507,17.503849580575384,32.062182203543976,17.413348172245684,27.609830633132425,16.753880335542437
13,1115_8,19.723289842391168,33.44648148119597,33.35294818321897,18.07301977433307,8.453382240358945,31.75845908891582,8.262849152798593,27.342051009585123,8.030057426766575
