,Subname,FB,F1,F1-,FN,S2,D2,S3,D3,CN
0,1129_4,36.4,36.400000000000006,36.39999999999999,36.4,36.4,36.4,36.4,36.4,36.4
1,1116_5,34.52363541410264,33.9183944620287,33.535440675612094,33.35893260842724,32.98540193285174,36.641036367247395,32.7331069272594,35.42217003470556,35.24308040429326
2,1105_2,34.34743328712308,37.1114510322295,36.946287826344886,34.598990593550006,37.8370506002131,29.836303975003894,37.79031556833671,34.97873388353507,34.96078350788672
3,1117_7,24.789241487246457,39.393886693903454,39.41419221231407,33.89188614111674,14.676870175796447,35.68017400717268,14.585529700848573,25.713953875685064,25.814517167160197
4,1121_2,36.825353064973356,39.0,39.0,35.916236958503355,38.67683292586079,37.7147765377241,38.650293131164005,37.80685999854069,37.7776315560337
5,1120_1,26.734403319786033,39.86817298421115,39.85562087262229,29.76988892179235,35.71381797302288,29.069518960022652,35.4099547581271,29.443999837029445,29.044932819338882
6,1121_13,38.39843809293112,37.428349814474075,37.48280590935332,38.62921009398407,36.45550098199901,38.13258710548607,36.53174889893067,37.395049674549384,37.26194303671184
7,1121_8,35.80179809546223,39.0,39.0,35.975572788401394,36.50338013009605,35.24004974714517,36.0275232351198,36.61937654029633,36.674086892163594
8,1117_12,34.842337003481475,37.92325646769174,38.00021820378123,36.126151893186645,37.58933152334644,35.87758281112181,37.591031758477385,37.08205013927108,37.03254180431273
9,1206_2,22.28235364770084,38.14302914208763,38.099894957088445,24.10676865286029,18.995444601133844,30.601066747103335,18.075280622783534,22.83799049105092,22.180664698113475
10,1117_1,36.393380791062555,39.62167542358951,39.63508232930976,35.3782528726084,39.03505385644091,37.525876988698165,39.03968787303483,37.95488567523611,37.878694396516366
11,1128_3,18.550522599015657,36.60957743044508,36.593040287568314,30.068571162673678,28.217604127248876,26.86251494396859,29.758156331770035,25.697450315865204,25.102893505961287
12,1120_7,29.06379343035044,34.8,34.8,33.77972949286331,30.435910695699746,32.00617370196596,30.85021067068751,31.20372647592142,31.030070237583644
13,1115_7,23.492525746841586,35.052261546106564,35.08702991287205,28.989891783839642,29.86960903213189,28.616716890959935,29.933174036309786,25.029669047640624,25.03450958155603
